0,Content ID,Type_x,Datetime,Sentiment,Score,Unnamed: 0,User ID,Type_y,Category,URL
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,22-04-2021,negative,0,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,18-04-2021,negative,0,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,24-01-2021,negative,0,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,07-11-2020,negative,10,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,04-02-2021,negative,10,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-09-2020,negative,10,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
46,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,15-03-2021,negative,10,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,17-06-2021,negative,15,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,07-11-2020,negative,15,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,07-10-2020,negative,15,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,25-08-2020,negative,15,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,09-11-2020,negative,15,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,06-01-2021,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,02-11-2020,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,24-02-2021,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,20-04-2021,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,02-02-2021,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,13-02-2021,positive,30,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-08-2020,neutral,35,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,27-01-2021,neutral,35,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,24-02-2021,neutral,35,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,31-01-2021,neutral,35,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,07-12-2020,positive,70,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,09-05-2021,positive,70,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,11-04-2021,negative,5,0,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2
