0,Content ID,Type,Datetime,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,22-04-2021,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,18-04-2021,negative,0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,24-01-2021,negative,0
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,11-02-2021,negative,0
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,09-06-2021,negative,0
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,disgust,01-09-2020,negative,0
133,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021,negative,0
160,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,26-09-2020,negative,0
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,14-06-2021,negative,0
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,15-07-2020,negative,0
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,28-04-2021,negative,0
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,06-07-2020,negative,0
284,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,15-10-2020,negative,0
288,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,26-06-2020,negative,0
292,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,23-08-2020,negative,0
303,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,25-01-2021,negative,0
306,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,01-07-2020,negative,0
309,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,23-02-2021,negative,0
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,30-08-2020,negative,0
327,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,07-03-2021,negative,0
344,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,12-08-2020,negative,0
355,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,disgust,24-07-2020,negative,0
381,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,15-09-2020,negative,0
387,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,02-11-2020,negative,0
388,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,08-03-2021,negative,0
394,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,19-05-2021,negative,0
405,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,26-12-2020,negative,0
